priority rank,old URL,old title,likely page type,GSC clicks,GSC impressions,average position,current status,classification,recommended final URL,canonical URL,sitemap inclusion status,legal risk,image status,approval status,redirect status,notes
61,https://chamanlawfirm.com/expert-witnesses-in-nigeria-court-proceeding,Expert Witnesses In Nigeria Court Proceeding,blog,100,3895,9.29,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/expert-witnesses-in-nigeria-court-proceeding,https://chamanlawfirm.com/resources/blog/expert-witnesses-in-nigeria-court-proceeding,not checked,low/medium - editorial and legal review still required,image and alt present in hidden Sanity draft,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
62,https://chamanlawfirm.com/maxims-of-equity,Maxims Of Equity,blog,95,11092,17.03,live 404,restore as blog post,/resources/blog/maxims-of-equity,https://chamanlawfirm.com/resources/blog/maxims-of-equity,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
63,https://chamanlawfirm.com/revocation-of-power-of-attorney,Revocation Of Power Of Attorney,blog,110,3208,11.71,live 404,restore as blog post,/resources/blog/revocation-of-power-of-attorney,https://chamanlawfirm.com/resources/blog/revocation-of-power-of-attorney,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
64,https://chamanlawfirm.com/how-to-legalize-or-attest-a-document-in-nigeria,How To Legalize Or Attest A Document In Nigeria,service,70,8505,13.68,live 404,exact redirect to existing live equivalent,/practice-areas/notary-public-services,https://chamanlawfirm.com/practice-areas/notary-public-services,included,low/medium - editorial and legal review still required,image recovery needed,not approved,configured to /practice-areas/notary-public-services,Sprint 11E urgent non-blog rescue candidate; target is existing public service/practice page.
65,https://chamanlawfirm.com/deed-of-partition-in-nigeria,Deed Of Partition In Nigeria,blog,97,7388,11.7,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/deed-of-partition-in-nigeria,https://chamanlawfirm.com/resources/blog/deed-of-partition-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
66,https://chamanlawfirm.com/the-role-of-regulatory-bodies,The Role Of Regulatory Bodies,blog,84,12523,17.56,live 404,restore as blog post,/resources/blog/the-role-of-regulatory-bodies,https://chamanlawfirm.com/resources/blog/the-role-of-regulatory-bodies,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
67,https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge,How To Calculate And Pay Land Use Charge,blog,80,8298,8.06,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/how-to-calculate-and-pay-land-use-charge,https://chamanlawfirm.com/resources/blog/how-to-calculate-and-pay-land-use-charge,not checked,medium - verify current law and facts before publication,image and alt present in hidden Sanity draft,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
68,https://chamanlawfirm.com/of-the-securities-and-exchange-commission,Of The Securities And Exchange Commission,blog,95,6545,13.44,live 404,restore as blog post,/resources/blog/of-the-securities-and-exchange-commission,https://chamanlawfirm.com/resources/blog/of-the-securities-and-exchange-commission,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
69,https://chamanlawfirm.com/digital-evidence-admissibility-in-nigeria,Digital Evidence Admissibility In Nigeria,blog,94,7016,11.14,live 404,restore as blog post,/resources/blog/digital-evidence-admissibility-in-nigeria,https://chamanlawfirm.com/resources/blog/digital-evidence-admissibility-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
70,https://chamanlawfirm.com/doctrine-of-ultra-vires,Doctrine Of Ultra Vires,blog,83,12540,18.04,live 404,restore as blog post,/resources/blog/doctrine-of-ultra-vires,https://chamanlawfirm.com/resources/blog/doctrine-of-ultra-vires,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
71,https://chamanlawfirm.com/board-of-directors-in-nigerian-companies,Board Of Directors In Nigerian Companies,blog,91,8410,13.69,live 404,restore as blog post,/resources/blog/board-of-directors-in-nigerian-companies,https://chamanlawfirm.com/resources/blog/board-of-directors-in-nigerian-companies,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
72,https://chamanlawfirm.com/pohistory-of-legal-profession-in-nigeria,Pohistory Of Legal Profession In Nigeria,blog,102,2525,15.24,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/pohistory-of-legal-profession-in-nigeria,https://chamanlawfirm.com/resources/blog/pohistory-of-legal-profession-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
73,https://chamanlawfirm.com/can-a-member-be-expelled-from-a-trade-union,Can A Member Be Expelled From A Trade Union,blog,87,3688,6.26,live 404,restore as blog post,/resources/blog/can-a-member-be-expelled-from-a-trade-union,https://chamanlawfirm.com/resources/blog/can-a-member-be-expelled-from-a-trade-union,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
74,https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent,Selling A Family Land Without Everyones Consent,blog,79,7191,5.54,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/selling-a-family-land-without-everyones-consent,https://chamanlawfirm.com/resources/blog/selling-a-family-land-without-everyones-consent,not checked,medium - verify current law and facts before publication,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
75,https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act,Challenges Of Implementing The Land Use Act,blog,92,6626,10.92,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/challenges-of-implementing-the-land-use-act,https://chamanlawfirm.com/resources/blog/challenges-of-implementing-the-land-use-act,not checked,medium - verify current law and facts before publication,image and alt present in hidden Sanity draft,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
76,https://chamanlawfirm.com/contact-for-legal-consultation,Contact For Legal Consultation,consultation,74,7109,9.19,redirect configured to /consultation,exact redirect to existing live equivalent,/consultation,https://chamanlawfirm.com/consultation,included,low/medium - editorial and legal review still required,image recovery needed,not approved,configured to /consultation,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
77,https://chamanlawfirm.com/land-use-act-and-land-tenure-systems,Land Use Act And Land Tenure Systems,blog,86,8434,15.81,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/land-use-act-and-land-tenure-systems,https://chamanlawfirm.com/resources/blog/land-use-act-and-land-tenure-systems,not checked,medium - verify current law and facts before publication,image and alt present in hidden Sanity draft,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
78,https://chamanlawfirm.com/international-law-in-conflict-resolution,International Law In Conflict Resolution,blog,86,8203,12.21,live 404,restore as blog post,/resources/blog/international-law-in-conflict-resolution,https://chamanlawfirm.com/resources/blog/international-law-in-conflict-resolution,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
79,https://chamanlawfirm.com/powerful-steps-who-is-mercantile-agent,Powerful Steps Who Is Mercantile Agent,blog,74,13848,10.43,live 404,restore as blog post,/resources/blog/powerful-steps-who-is-mercantile-agent,https://chamanlawfirm.com/resources/blog/powerful-steps-who-is-mercantile-agent,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
80,https://chamanlawfirm.com/how-to-register-a-deed-of-assignment-in-ogun,How To Register A Deed Of Assignment In Ogun,blog,94,2623,3.99,approved Sanity post; missing old-url redirect,exact redirect to existing live equivalent,/resources/blog/how-to-register-a-deed-of-assignment-in-ogun,https://chamanlawfirm.com/resources/blog/how-to-register-a-deed-of-assignment-in-ogun,included,low/medium - editorial and legal review still required,image and alt present in Sanity,already public,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
81,https://chamanlawfirm.com/rights-of-parties-to-a-mortgage,Rights Of Parties To A Mortgage,blog,93,2853,19.98,live 404,restore as blog post,/resources/blog/rights-of-parties-to-a-mortgage,https://chamanlawfirm.com/resources/blog/rights-of-parties-to-a-mortgage,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
82,https://chamanlawfirm.com/powerful-steps-nimasacertificate,Powerful Steps Nimasacertificate,blog,73,12084,13.73,live 404,restore as blog post,/resources/blog/powerful-steps-nimasacertificate,https://chamanlawfirm.com/resources/blog/powerful-steps-nimasacertificate,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
83,https://chamanlawfirm.com/legally-combat-police-harassment-in-nigeria,Legally Combat Police Harassment In Nigeria,blog,93,4804,9.84,hidden Sanity draft; do not redirect,keep hidden pending legal review,/resources/blog/legally-combat-police-harassment-in-nigeria,https://chamanlawfirm.com/resources/blog/legally-combat-police-harassment-in-nigeria,not checked,high - lawyer review required before publication,image and alt present in hidden Sanity draft,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
84,https://chamanlawfirm.com/corporate-affairs-commission-in-nigeria,Corporate Affairs Commission In Nigeria,service,45,11826,17.84,hidden Sanity draft; do not redirect,exact redirect to existing live equivalent,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,included,low/medium - editorial and legal review still required,image recovery needed,not approved,configured to /practice-areas/corporate-commercial-law,"Needs full content, image, canonical, and legal review before publication."
85,https://chamanlawfirm.com/employers-vicarious-liability,Employers Vicarious Liability,blog,72,5701,9.44,live 404,restore as blog post,/resources/blog/employers-vicarious-liability,https://chamanlawfirm.com/resources/blog/employers-vicarious-liability,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
86,https://chamanlawfirm.com/legal-restrictions-to-sale-of-land,Legal Restrictions To Sale Of Land,blog,81,7000,10.7,live 404,restore as blog post,/resources/blog/legal-restrictions-to-sale-of-land,https://chamanlawfirm.com/resources/blog/legal-restrictions-to-sale-of-land,not checked,medium - verify current law and facts before publication,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
87,https://chamanlawfirm.com/establishing-paternity-and-maternity-under,Establishing Paternity And Maternity Under,blog,80,7061,10.36,live 404,restore as blog post,/resources/blog/establishing-paternity-and-maternity-under,https://chamanlawfirm.com/resources/blog/establishing-paternity-and-maternity-under,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
88,https://chamanlawfirm.com/how-to-obtain-standard-organisat-certificate,How To Obtain Standard Organisat Certificate,blog,58,11847,9.66,live 404,restore as blog post,/resources/blog/how-to-obtain-standard-organisat-certificate,https://chamanlawfirm.com/resources/blog/how-to-obtain-standard-organisat-certificate,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
89,https://chamanlawfirm.com/minority-protection-rights-and-remedies,Minority Protection Rights And Remedies,blog,83,4287,14.14,live 404,restore as blog post,/resources/blog/minority-protection-rights-and-remedies,https://chamanlawfirm.com/resources/blog/minority-protection-rights-and-remedies,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
90,https://chamanlawfirm.com/two-years-rule-as-regards-dissolution-of,Two Years Rule As Regards Dissolution Of,blog,81,5229,10.07,live 404,restore as blog post,/resources/blog/two-years-rule-as-regards-dissolution-of,https://chamanlawfirm.com/resources/blog/two-years-rule-as-regards-dissolution-of,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
91,https://chamanlawfirm.com/methods-of-transfer-of-shares,Methods Of Transfer Of Shares,blog,89,6874,25.03,live 404,restore as blog post,/resources/blog/methods-of-transfer-of-shares,https://chamanlawfirm.com/resources/blog/methods-of-transfer-of-shares,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
92,https://chamanlawfirm.com/procedure-and-guprivate-placement-in-nigeria,Procedure And Guprivate Placement In Nigeria,blog,73,2826,7.25,live 404,restore as blog post,/resources/blog/procedure-and-guprivate-placement-in-nigeria,https://chamanlawfirm.com/resources/blog/procedure-and-guprivate-placement-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
93,https://chamanlawfirm.com/successfully-obtain-a-building-plan-approval,Successfully Obtain A Building Plan Approval,blog,75,7662,11.21,live 404,restore as blog post,/resources/blog/successfully-obtain-a-building-plan-approval,https://chamanlawfirm.com/resources/blog/successfully-obtain-a-building-plan-approval,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
94,https://chamanlawfirm.com/documents-to-verify-before-buying-property,Documents To Verify Before Buying Property,service,63,4881,6.12,redirect configured to /practice-areas/property-real-estate-law/property-due-diligence,exact redirect to existing live equivalent,/practice-areas/property-real-estate-law/property-due-diligence,https://chamanlawfirm.com/practice-areas/property-real-estate-law/property-due-diligence,included,medium - verify current law and facts before publication,image recovery needed,not approved,configured to /practice-areas/property-real-estate-law/property-due-diligence,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
95,https://chamanlawfirm.com/the-defence-of-laches-in-customary-law-in-nigeria,The Defence Of Laches In Customary Law In Nigeria,blog,72,2148,9.9,live 404,restore as blog post,/resources/blog/the-defence-of-laches-in-customary-law-in-nigeria,https://chamanlawfirm.com/resources/blog/the-defence-of-laches-in-customary-law-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
96,https://chamanlawfirm.com/governors-consent,Governors Consent,service,60,5918,9.13,redirect configured to /practice-areas/property-real-estate-law/governors-consent,exact redirect to existing live equivalent,/practice-areas/property-real-estate-law/governors-consent,https://chamanlawfirm.com/practice-areas/property-real-estate-law/governors-consent,included,medium - verify current law and facts before publication,image recovery needed,not approved,configured to /practice-areas/property-real-estate-law/governors-consent,Legacy Governor's Consent URL has GSC clicks and exact live service-page target.
97,https://chamanlawfirm.com/role-of-shareholder-in-corporate-decision-making,Role Of Shareholder In Corporate Decision Making,service,52,3869,16.1,live 404,exact redirect to existing live equivalent,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,included,low/medium - editorial and legal review still required,image recovery needed,not approved,configured to /practice-areas/corporate-commercial-law,Sprint 11E urgent non-blog rescue candidate; target is existing public service/practice page.
98,https://chamanlawfirm.com/how-to-handle-land-grabbers-in-ogun-state,How To Handle Land Grabbers In Ogun State,blog,94,2455,7.01,approved Sanity post; missing old-url redirect,exact redirect to existing live equivalent,/resources/blog/how-to-handle-land-grabbers-in-ogun-state,https://chamanlawfirm.com/resources/blog/how-to-handle-land-grabbers-in-ogun-state,included,medium - verify current law and facts before publication,image and alt present in Sanity,already public,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
99,https://chamanlawfirm.com/proven-steps-onoverview-of-the-child-right-act,Proven Steps Onoverview Of The Child Right Act,blog,63,20853,14.57,hidden Sanity draft; do not redirect,keep hidden pending legal review,/resources/blog/proven-steps-onoverview-of-the-child-right-act,https://chamanlawfirm.com/resources/blog/proven-steps-onoverview-of-the-child-right-act,not checked,high - lawyer review required before publication,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
100,https://chamanlawfirm.com/about-chaman-law-firm,About Chaman Law Firm,static,83,7680,6.88,redirect configured to /about,exact redirect to existing live equivalent,/about,https://chamanlawfirm.com/about,included,low/medium - editorial and legal review still required,image recovery needed,not approved,configured to /about,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
