priority,old URL,old title,GSC evidence,current redirect status,existing target,recommended target,target URL,page type,legal status,image status,priority score,recommended action
77,https://chamanlawfirm.com/types-of-parties-to-a-civil-action,Types of Parties To A Civil Action,127 clicks; 7219 impressions,already configured,/practice-areas/litigation-dispute-resolution,/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,general legal education,low/medium - editorial and legal review still required,image recovery needed,1342,monitor existing redirect
78,https://chamanlawfirm.com/legal-implications-of-joint-property,Legal Implications of Joint Property,112 clicks; 5574 impressions,not configured,,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1326,redirect one-hop to existing live authority page
79,https://chamanlawfirm.com/the-land-use-and-allocation-committee-luac,The Land Use and Allocation Committee Luac,114 clicks; 2298 impressions,already configured,/resources/blog/the-land-use-and-allocation-committee-luac,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1313,monitor existing redirect
80,https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,102 clicks; 14116 impressions,not configured,,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,corporate/commercial,medium - verify current law and facts before publication,image and alt present in Sanity,1311,redirect one-hop to existing live authority page
81,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria,Rights of A Property Owner In Nigeria,105 clicks; 7442 impressions,not configured,,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image recovery needed,1274,redirect one-hop to existing live authority page
82,https://chamanlawfirm.com/land-use-act-1978,Land Use Act 1978,96 clicks; 15652 impressions,not configured,,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image recovery needed,1267,redirect one-hop to existing live authority page
83,https://chamanlawfirm.com/tax-clearance-certificate-in-nigeria,Tax Clearance Certificate In Nigeria,81 clicks; 28880 impressions,already configured,/resources/blog/tax-clearance-certificate-in-nigeria,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,corporate/commercial,medium - verify current law and facts before publication,image and alt present in Sanity,1249,monitor existing redirect
84,https://chamanlawfirm.com/land-registration-system-in-nigeria,Land Registration System In Nigeria,101 clicks; 7937 impressions,not configured,,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1239,redirect one-hop to existing live authority page
85,https://chamanlawfirm.com/landlords-and-tenants-in-nigeria,Landlords and Tenants In Nigeria,95 clicks; 13014 impressions,not configured,,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1230,redirect one-hop to existing live authority page
86,https://chamanlawfirm.com/how-to-get-international-passport-in-nigeria,How To Get International Passport In Nigeria,55 clicks; 51890 impressions,already configured,/resources/blog/how-to-get-international-passport-in-nigeria,/practice-areas/immigration-services,https://chamanlawfirm.com/practice-areas/immigration-services,immigration,low/medium - editorial and legal review still required,image and alt present in Sanity,1219,monitor existing redirect
87,https://chamanlawfirm.com/who-holds-authority-over-land-under-the-land,Who Holds Authority Over Land Under the Land,102 clicks; 4252 impressions,already configured,/resources/blog/who-holds-authority-over-land-under-the-land,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1213,monitor existing redirect
88,https://chamanlawfirm.com/how-to-conduct-search-at-land-registry,How To Conduct Search At Land Registry,99 clicks; 6971 impressions,already configured,/resources/blog/how-to-conduct-search-at-land-registry,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1210,monitor existing redirect
89,https://chamanlawfirm.com/developer-fails-to-deliver-property,Developer Fails To Deliver Property,102 clicks; 3898 impressions,already configured,/resources/blog/developer-fails-to-deliver-property,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1209,monitor existing redirect
90,https://chamanlawfirm.com/deed-of-partition-in-nigeria,Deed of Partition In Nigeria,97 clicks; 7388 impressions,already configured,/resources/blog/deed-of-partition-in-nigeria,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,low/medium - editorial and legal review still required,image recovery needed,1194,monitor existing redirect
91,https://chamanlawfirm.com/how-to-prove-ownership-of-land-in-nigeria,How To Prove Ownership of Land In Nigeria,98 clicks; 3656 impressions,already configured,/resources/blog/how-to-prove-ownership-of-land-in-nigeria,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1167,monitor existing redirect
92,https://chamanlawfirm.com/of-the-securities-and-exchange-commission,of the Securities and Exchange Commission,95 clicks; 6545 impressions,not configured,,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,general legal education,low/medium - editorial and legal review still required,image recovery needed,1165,redirect one-hop to existing live authority page
93,https://chamanlawfirm.com/enforcing-fundamental-human-right,Enforcing Fundamental Human Right,110 clicks; 5894 impressions,not configured,,/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,general legal education,low/medium - editorial and legal review still required,image recovery needed,1159,redirect one-hop to existing live authority page
94,https://chamanlawfirm.com/legal-obligations-for-debt-collectors,Legal Obligations For Debt Collectors,92 clicks; 8933 impressions,already configured,/resources/blog/legal-obligations-for-debt-collectors,/practice-areas/debt-recovery,https://chamanlawfirm.com/practice-areas/debt-recovery,debt recovery,medium - verify current law and facts before publication,image and alt present in Sanity,1159,monitor existing redirect
95,https://chamanlawfirm.com/probate-in-lagos-everything-you-need-to-know,Probate In Lagos Everything You Need To Know,94 clicks; 6122 impressions; avg position 4.79 from local GSC Pages.csv,not configured,,/practice-areas/probate-estate-administration,https://chamanlawfirm.com/practice-areas/probate-estate-administration,probate/estate,high - lawyer review required before publication,image recovery needed,1151,redirect one-hop to existing live authority page
96,https://chamanlawfirm.com/land-tenures-and-customary-land-tenure-systems,Land Tenures and Customary Land Tenure Systems,88 clicks; 12139 impressions,already configured,/resources/blog/land-tenures-and-customary-land-tenure-systems,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1151,monitor existing redirect
97,https://chamanlawfirm.com/board-of-directors-in-nigerian-companies,Board of Directors In Nigerian Companies,91 clicks; 8410 impressions,not configured,,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,corporate/commercial,low/medium - editorial and legal review still required,image recovery needed,1144,redirect one-hop to existing live authority page
98,https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act,Challenges of Implementing the Land Use Act,92 clicks; 6626 impressions,not configured,,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,1136,redirect one-hop to existing live authority page
99,https://chamanlawfirm.com/who-can-be-a-notary-public,Who Can Be A Notary Public,83 clicks; 15411 impressions,already configured,/practice-areas/notary-public-services,/practice-areas/notary-public-services,https://chamanlawfirm.com/practice-areas/notary-public-services,notary/documentation,low/medium - editorial and legal review still required,image recovery needed,1134,monitor existing redirect
100,https://chamanlawfirm.com/how-to-legally-evict-a-tenant-in-lagos-state,How To Legally Evict A Tenant In Lagos State,90 clicks; 7981 impressions; avg position 9.58 from local GSC Pages.csv,already configured,/resources/blog/how-to-legally-evict-a-tenant-in-lagos-state,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,high - lawyer review required before publication,image and alt present in Sanity,1130,monitor existing redirect
