old URL,old title,old content type,current status,clicks,impressions,average position,backlink/ranking evidence if available,source body found,source body quality,image found,current Sanity status,current redirect status,sitemap status,page type,legal risk,current-law risk,duplicate/cannibalization risk,business value,recommended recovery path,proposed final URL,priority score,notes
https://chamanlawfirm.com/international-law-in-conflict-resolution/,International Law In Conflict Resolution,general legal education,live 404,86,86,,86 clicks; 8203 impressions; avg position 12.21 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/international-law-in-conflict-resolution,961,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/landlords-and-tenants-in-nigeria/,Landlords And Tenants In Nigeria,property/title,hidden Sanity draft; do not redirect,95,95,,95 clicks; 13014 impressions; avg position 18.12 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/landlords-and-tenants-in-nigeria,951,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria/,Step By Step Guide On How To Conduct A Statutory Marriage In Nigeria,family law,redirect configured to /resources/blog/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria,94,94,,94 clicks; 10219 impressions; avg position 17.51 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria,941,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/probate-in-lagos-everything-you-need-to-know/,Probate In Lagos Everything You Need To Know,probate/estate,hidden Sanity draft; do not redirect,94,94,,94 clicks; 6122 impressions; avg position 4.79 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,hidden/not approved,hidden Sanity draft; do not redirect,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/practice-areas/probate-estate-administration,941,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/how-to-register-a-deed-of-assignment-in-ogun/,How To Register A Deed Of Assignment In Ogun,property/title,approved Sanity post; missing old-url redirect,94,94,,94 clicks; 2623 impressions; avg position 3.99 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/how-to-register-a-deed-of-assignment-in-ogun,941,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/how-to-handle-land-grabbers-in-ogun-state/,How To Handle Land Grabbers In Ogun State,property/title,approved Sanity post; missing old-url redirect,94,94,,94 clicks; 2455 impressions; avg position 7.01 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,approved Sanity post; missing old-url redirect,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/how-to-handle-land-grabbers-in-ogun-state,941,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/the-role-of-regulatory-bodies/,The Role Of Regulatory Bodies,general legal education,live 404,84,84,,84 clicks; 12523 impressions; avg position 17.56 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-role-of-regulatory-bodies,941,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/legally-combat-police-harassment-in-nigeria/,Legally Combat Police Harassment In Nigeria,litigation/ADR,hidden Sanity draft; do not redirect,93,93,,93 clicks; 4804 impressions; avg position 9.84 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/legally-combat-police-harassment-in-nigeria,931,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/doctrine-of-ultra-vires/,Doctrine Of Ultra Vires,general legal education,live 404,83,83,,83 clicks; 12540 impressions; avg position 18.04 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,sitemap after deployment,service,low/medium - editorial and legal review still required,medium,low; service route selected to avoid weak blog duplication,high service/lead value,restore as service page,https://chamanlawfirm.com/practice-areas/corporate-commercial-law/ultra-vires-corporate-powers,931,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/minority-protection-rights-and-remedies/,Minority Protection Rights And Remedies,general legal education,live 404,83,83,,83 clicks; 4287 impressions; avg position 14.14 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/minority-protection-rights-and-remedies,931,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/legal-obligations-for-debt-collectors/,Legal Obligations For Debt Collectors,debt recovery,redirect configured to /resources/blog/legal-obligations-for-debt-collectors,92,92,,92 clicks; 8933 impressions; avg position 12.92 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/legal-obligations-for-debt-collectors,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/legal-obligations-for-debt-collectors,921,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act/,Challenges Of Implementing The Land Use Act,property/title,hidden Sanity draft; do not redirect,92,92,,92 clicks; 6626 impressions; avg position 10.92 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/challenges-of-implementing-the-land-use-act,921,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/legal-restrictions-to-sale-of-land/,Legal Restrictions To Sale Of Land,property/title,live 404,81,81,,81 clicks; 7000 impressions; avg position 10.7 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/legal-restrictions-to-sale-of-land,911,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/two-years-rule-as-regards-dissolution-of/,Two Years Rule As Regards Dissolution Of,general legal education,live 404,81,81,,81 clicks; 5229 impressions; avg position 10.07 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/two-years-rule-as-regards-dissolution-of,911,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/how-to-legally-evict-a-tenant-in-lagos-state/,How To Legally Evict A Tenant In Lagos State,property/title,approved Sanity post; missing old-url redirect,90,90,,90 clicks; 7981 impressions; avg position 9.58 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,approved Sanity post; missing old-url redirect,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/how-to-legally-evict-a-tenant-in-lagos-state,901,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/legal-processofobtaininga-deed-of-assignment/,Legal Processofobtaininga Deed Of Assignment,property/title,redirect configured to /resources/blog/legal-processofobtaininga-deed-of-assignment,90,90,,90 clicks; 7853 impressions; avg position 7.57 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/legal-processofobtaininga-deed-of-assignment,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/legal-processofobtaininga-deed-of-assignment,901,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/establishing-paternity-and-maternity-under/,Establishing Paternity And Maternity Under,general legal education,live 404,80,80,,80 clicks; 7061 impressions; avg position 10.36 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/establishing-paternity-and-maternity-under,901,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/the-difference-between-adoption-and-fostering-in-nigeria/,The Difference Between Adoption And Fostering In Nigeria,general legal education,live 404,80,80,,80 clicks; 5716 impressions; avg position 34.37 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-difference-between-adoption-and-fostering-in-nigeria,901,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/limitations-to-testamentary-freedom/,Limitations To Testamentary Freedom,general legal education,live 404,79,79,,79 clicks; 1923 impressions; avg position 14.36 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/limitations-to-testamentary-freedom,891,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/land-tenures-and-customary-land-tenure-systems/,Land Tenures And Customary Land Tenure Systems,property/title,redirect configured to /resources/blog/land-tenures-and-customary-land-tenure-systems,88,88,,88 clicks; 12139 impressions; avg position 14.18 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/land-tenures-and-customary-land-tenure-systems,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/land-tenures-and-customary-land-tenure-systems,881,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/property-with-existing-tenants-in-nigeria/,Property With Existing Tenants In Nigeria,property/title,redirect configured to /resources/blog/property-with-existing-tenants-in-nigeria,87,87,,87 clicks; 3193 impressions; avg position 11.24 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/property-with-existing-tenants-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/property-with-existing-tenants-in-nigeria,871,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/land-use-act-and-land-tenure-systems/,Land Use Act And Land Tenure Systems,property/title,hidden Sanity draft; do not redirect,86,86,,86 clicks; 8434 impressions; avg position 15.81 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/land-use-act-and-land-tenure-systems,861,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/the-valid-procession-of-a-statutory-marriage/,The Valid Procession Of A Statutory Marriage,family law,live 404,76,76,,76 clicks; 10495 impressions; avg position 15.83 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-valid-procession-of-a-statutory-marriage,861,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/where-marriage-under-the-act-can-be-conducted/,Where Marriage Under The Act Can Be Conducted,family law,redirect configured to /resources/blog/where-marriage-under-the-act-can-be-conducted,85,85,,85 clicks; 15038 impressions; avg position 13.77 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/where-marriage-under-the-act-can-be-conducted,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/where-marriage-under-the-act-can-be-conducted,851,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/how-nigerian-courts-handle-electronic-evidence/,How Nigerian Courts Handle Electronic Evidence,litigation/ADR,redirect configured to /resources/blog/how-nigerian-courts-handle-electronic-evidence,85,85,,85 clicks; 14154 impressions; avg position 8.26 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/how-nigerian-courts-handle-electronic-evidence,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-nigerian-courts-handle-electronic-evidence,851,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/successfully-obtain-a-building-plan-approval/,Successfully Obtain A Building Plan Approval,general legal education,live 404,75,75,,75 clicks; 7662 impressions; avg position 11.21 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/successfully-obtain-a-building-plan-approval,851,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/what-is-the-legal-status-of-collective-agreement/,What Is The Legal Status Of Collective Agreement,general legal education,live 404,75,75,,75 clicks; 2301 impressions; avg position 10.86 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/what-is-the-legal-status-of-collective-agreement,851,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/powerful-steps-who-is-mercantile-agent/,Powerful Steps Who Is Mercantile Agent,general legal education,live 404,74,74,,74 clicks; 13848 impressions; avg position 10.43 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/powerful-steps-who-is-mercantile-agent,841,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/child-custody-in-customary-marriage/,Child Custody In Customary Marriage,family law,live 404,74,74,,74 clicks; 3514 impressions; avg position 13 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/child-custody-in-customary-marriage,841,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/digital-rights-and-freedom-of-expression/,Digital Rights And Freedom Of Expression,general legal education,live 404,74,74,,74 clicks; 2910 impressions; avg position 26.46 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/digital-rights-and-freedom-of-expression,841,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/who-can-be-a-notary-public/,Who Can Be A Notary Public,notary/documentation,hidden Sanity draft; do not redirect,83,83,,83 clicks; 15411 impressions; avg position 10.26 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,hidden/not approved,hidden Sanity draft; do not redirect,sitemap after deployment,service,low/medium - editorial and legal review still required,medium,low; service route selected to avoid weak blog duplication,high service/lead value,restore as service page,https://chamanlawfirm.com/practice-areas/notary-public-services/notary-public-eligibility-and-document-advisory,831,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/about-chaman-law-firm/,About Chaman Law Firm,general legal education,redirect configured to /about,83,83,,83 clicks; 7680 impressions; avg position 6.88 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,redirect configured to /about,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/about,831,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/powerful-steps-nimasacertificate/,Powerful Steps Nimasacertificate,general legal education,live 404,73,73,,73 clicks; 12084 impressions; avg position 13.73 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/powerful-steps-nimasacertificate,831,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/procedure-and-guprivate-placement-in-nigeria/,Procedure And Guprivate Placement In Nigeria,general legal education,live 404,73,73,,73 clicks; 2826 impressions; avg position 7.25 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/procedure-and-guprivate-placement-in-nigeria,831,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/types-of-company-in-nigeria/,Types Of Company In Nigeria,corporate/commercial,redirect configured to /resources/blog/types-of-company-in-nigeria,82,82,,82 clicks; 14421 impressions; avg position 19.22 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/types-of-company-in-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/types-of-company-in-nigeria,821,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/contract-breach-and-remedies/,Contract Breach And Remedies,corporate/commercial,redirect configured to /resources/blog/contract-breach-and-remedies,82,82,,82 clicks; 6175 impressions; avg position 9.57 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/contract-breach-and-remedies,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/contract-breach-and-remedies,821,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/employers-vicarious-liability/,Employers Vicarious Liability,general legal education,live 404,72,72,,72 clicks; 5701 impressions; avg position 9.44 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/employers-vicarious-liability,821,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/the-defence-of-laches-in-customary-law-in-nigeria/,The Defence Of Laches In Customary Law In Nigeria,general legal education,live 404,72,72,,72 clicks; 2148 impressions; avg position 9.9 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-defence-of-laches-in-customary-law-in-nigeria,821,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/tax-clearance-certificate-in-nigeria/,Tax Clearance Certificate In Nigeria,corporate/commercial,redirect configured to /resources/blog/tax-clearance-certificate-in-nigeria,81,81,,81 clicks; 28880 impressions; avg position 10.29 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/tax-clearance-certificate-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/tax-clearance-certificate-in-nigeria,811,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/how-to-obtain-legal-guardianship-of-a-child/,How To Obtain Legal Guardianship Of A Child,family law,live 404,71,71,,71 clicks; 4371 impressions; avg position 9.68 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-obtain-legal-guardianship-of-a-child,811,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge/,How To Calculate And Pay Land Use Charge,property/title,hidden Sanity draft; do not redirect,80,80,,80 clicks; 8298 impressions; avg position 8.06 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/how-to-calculate-and-pay-land-use-charge,801,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/how-to-legalize-or-attest-a-document-in-nigeria/,How To Legalize Or Attest A Document In Nigeria,notary/documentation,live 404,70,70,,70 clicks; 8505 impressions; avg position 13.68 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-legalize-or-attest-a-document-in-nigeria,801,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/basic-elements-of-defamatory-statement/,Basic Elements Of Defamatory Statement,general legal education,live 404,70,70,,70 clicks; 3672 impressions; avg position 23.39 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/basic-elements-of-defamatory-statement,801,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent/,Selling A Family Land Without Everyones Consent,property/title,hidden Sanity draft; do not redirect,79,79,,79 clicks; 7191 impressions; avg position 5.54 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/selling-a-family-land-without-everyones-consent,791,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/legalisation-authentication-of-marriage-certificate-in-nigeria/,Legalisation Authentication Of Marriage Certificate In Nigeria,family law,redirect configured to /resources/blog/legalisation-authentication-of-marriage-certificate-in-nigeria,77,77,,77 clicks; 5655 impressions; avg position 12.44 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/legalisation-authentication-of-marriage-certificate-in-nigeria,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/legalisation-authentication-of-marriage-certificate-in-nigeria,771,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
