priority,old URL,slug,old title,likely page type,GSC clicks,GSC impressions,SEO priority score,current redirect target,recommended final URL,public Sanity status,hidden/unapproved Sanity records,image status,legal risk,duplicate/cannibalization risk,Sprint 11J action,notes
59,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy,litigation-dispute-resolution,The Role Of The Judiciary In Nigerian Democracy,service,177,8272,1138,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
60,https://chamanlawfirm.com/powerful-steps-sources-of-tax-law-in-nigeria,corporate-commercial-law,Powerful Steps Sources Of Tax Law In Nigeria,service,146,9857,1119,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,not public,0,image and alt present in hidden Sanity draft,medium - verify current law and facts before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
61,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land,property-verification,How To Verify Land Title Before Buying Land,service,154,8738,1087,https://chamanlawfirm.com/practice-areas/property-real-estate-law/property-verification,https://chamanlawfirm.com/practice-areas/property-real-estate-law/property-verification,not public,0,image recovery needed,medium - verify current law and facts before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
62,https://chamanlawfirm.com/how-to-legally-change-a-child-surname,family-law,How To Legally Change A Child Surname,service,180,10512,1085,https://chamanlawfirm.com/practice-areas/family-law,https://chamanlawfirm.com/practice-areas/family-law,not public,0,image recovery needed,high - lawyer review required before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
63,https://chamanlawfirm.com/conditions-for-granting-injunctions-and-types-of-injunctions,litigation-dispute-resolution,Conditions For Granting Injunctions And Types Of Injunctions,service,164,3033,1080,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
64,https://chamanlawfirm.com/understanding-rent-increase-laws-in-lagos,property-real-estate-law,Understanding Rent Increase Laws In Lagos,service,115,27541,1080,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
65,https://chamanlawfirm.com/overview-of-the-concept-recovery-of-premises,property-real-estate-law,Overview Of The Concept Recovery Of Premises,service,151,8920,1074,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image and alt present in hidden Sanity draft,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,image recovery/fallback required
66,https://chamanlawfirm.com/documents-apostilled-in-nigeria,notary-public-services,Documents Apostilled In Nigeria,service,108,16563,1056,https://chamanlawfirm.com/practice-areas/notary-public-services,https://chamanlawfirm.com/practice-areas/notary-public-services,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,Sprint 11E urgent non-blog rescue candidate; target is existing public service/practice page.
67,https://chamanlawfirm.com/cost-of-building-approval-chaman-law-firm,property-real-estate-law,Cost Of Building Approval Chaman Law Firm,service,142,5152,1052,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,image recovery/fallback required
68,https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of,property-real-estate-law,Land Grabbing The Legal Consequences Of,service,148,7395,1044,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image and alt present in hidden Sanity draft,medium - verify current law and facts before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,image recovery/fallback required
69,https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,How To Apply For Certificate Of Good Conduct In Nigeria,blog,150,8056,1041,,https://chamanlawfirm.com/resources/blog/how-to-apply-for-certificate-of-good-conduct-in-nigeria,not public,0,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
70,https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,The Nigerian Legal System,blog,145,21767,1033,,https://chamanlawfirm.com/resources/blog/the-nigerian-legal-system,not public,0,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
71,https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria,family-law,Void And Voidable Marriages In Nigeria,service,172,7850,1019,https://chamanlawfirm.com/practice-areas/family-law,https://chamanlawfirm.com/practice-areas/family-law,not public,0,image and alt present in hidden Sanity draft,high - lawyer review required before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,image recovery/fallback required
72,https://chamanlawfirm.com/overview-of-latches-and-acquiescence,litigation-dispute-resolution,Overview Of Latches And Acquiescence,service,149,9158,1007,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
73,https://chamanlawfirm.com/nigeria-prohibited-items-list,nigeria-prohibited-items-list,Nigeria Prohibited Items List,blog,127,21883,1004,,https://chamanlawfirm.com/resources/blog/nigeria-prohibited-items-list,not public,0,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
74,https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state,property-real-estate-law,How Do I Legally Evict A Tenant In Ogun State,service,151,4331,998,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image and alt present in hidden Sanity draft,high - lawyer review required before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,
75,https://chamanlawfirm.com/property-how-to-place-a-caveat,property-real-estate-law,Property How To Place A Caveat,service,140,4283,973,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image and alt present in hidden Sanity draft,medium - verify current law and facts before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
76,https://chamanlawfirm.com/family-property-and-right-of-individual-member-in-family-property,family-property-and-right-of-individual-member-in-family-property,Family Property And Right Of Individual Member In Family Property,blog,166,4234,962,https://chamanlawfirm.com/resources/blog/family-property-and-right-of-individual-member-in-family-property,https://chamanlawfirm.com/resources/blog/family-property-and-right-of-individual-member-in-family-property,approved public,2,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
77,https://chamanlawfirm.com/communal-land-and-family-land,communal-land-and-family-land,Communal Land And Family Land,blog,151,11645,961,https://chamanlawfirm.com/resources/blog/communal-land-and-family-land,https://chamanlawfirm.com/resources/blog/communal-land-and-family-land,approved public,2,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
78,https://chamanlawfirm.com/land-ownership-disputes-in-nigeria,land-ownership-disputes-in-nigeria,Land Ownership Disputes In Nigeria,blog,151,10907,954,https://chamanlawfirm.com/resources/blog/land-ownership-disputes-in-nigeria,https://chamanlawfirm.com/resources/blog/land-ownership-disputes-in-nigeria,approved public,3,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
79,https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun,property-real-estate-law,Can A Landlord Increase Rent Arbitrarily In Ogun,service,136,4178,952,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image and alt present in hidden Sanity draft,medium - verify current law and facts before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
80,https://chamanlawfirm.com/is-police-bail-free-in-nigeria,litigation-dispute-resolution,Is Police Bail Free In Nigeria,service,146,13323,943,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,not public,0,image recovery needed,high - lawyer review required before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
81,https://chamanlawfirm.com/types-of-land-registration-in-nigeria,types-of-land-registration-in-nigeria,Types Of Land Registration In Nigeria,blog,150,9485,935,https://chamanlawfirm.com/resources/blog/types-of-land-registration-in-nigeria,https://chamanlawfirm.com/resources/blog/types-of-land-registration-in-nigeria,approved public,2,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
82,https://chamanlawfirm.com/annulment-of-marriage-under-the-nigerian-law,annulment-of-marriage-under-the-nigerian-law,Annulment Of Marriage Under The Nigerian Law,blog,163,7865,894,https://chamanlawfirm.com/resources/blog/annulment-of-marriage-under-the-nigerian-law,https://chamanlawfirm.com/resources/blog/annulment-of-marriage-under-the-nigerian-law,approved public,2,image and alt present in Sanity,high - lawyer review required before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
83,https://chamanlawfirm.com/dissolution-of-marriage-under-the-nigeria-law,dissolution-of-marriage-under-the-nigeria-law,Dissolution Of Marriage Under The Nigeria Law,blog,171,9696,892,https://chamanlawfirm.com/resources/blog/dissolution-of-marriage-under-the-nigeria-law,https://chamanlawfirm.com/resources/blog/dissolution-of-marriage-under-the-nigeria-law,approved public,2,image and alt present in Sanity,high - lawyer review required before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
84,https://chamanlawfirm.com/what-to-know-about-company-resolution,what-to-know-about-company-resolution,What To Know About Company Resolution,blog,146,12053,881,https://chamanlawfirm.com/resources/blog/what-to-know-about-company-resolution,https://chamanlawfirm.com/resources/blog/what-to-know-about-company-resolution,approved public,2,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
85,https://chamanlawfirm.com/types-of-parties-to-a-civil-action,litigation-dispute-resolution,Types Of Parties To A Civil Action,service,127,7219,877,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
86,https://chamanlawfirm.com/powerful-steps-valid-survey,property-real-estate-law,Powerful Steps Valid Survey,service,120,4234,872,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
87,https://chamanlawfirm.com/what-is-the-process-of-land-acquisition,what-is-the-process-of-land-acquisition,What Is The Process Of Land Acquisition,blog,145,10528,860,https://chamanlawfirm.com/resources/blog/what-is-the-process-of-land-acquisition,https://chamanlawfirm.com/resources/blog/what-is-the-process-of-land-acquisition,approved public,2,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
88,https://chamanlawfirm.com/who-can-be-a-notary-public,notary-public-services,Who Can Be A Notary Public,service,83,15411,859,https://chamanlawfirm.com/practice-areas/notary-public-services,https://chamanlawfirm.com/practice-areas/notary-public-services,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,"Needs full content, image, canonical, and legal review before publication."
89,https://chamanlawfirm.com/deed-of-assignment-in-nigeria,property-real-estate-law,Deed Of Assignment In Nigeria,service,114,5572,856,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,not public,0,image and alt present in hidden Sanity draft,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
90,https://chamanlawfirm.com/probate-in-lagos-everything-you-need-to-know,probate-estate-administration,Probate In Lagos Everything You Need To Know,service,94,6122,851,,https://chamanlawfirm.com/practice-areas/probate-estate-administration,not public,0,image recovery needed,high - lawyer review required before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,"Needs full content, image, canonical, and legal review before publication."
91,https://chamanlawfirm.com/what-are-rights-of-women-to-inheritance-in-nigeria,what-are-rights-of-women-to-inheritance-in-nigeria,What Are Rights Of Women To Inheritance In Nigeria,blog,152,8878,849,https://chamanlawfirm.com/resources/blog/what-are-rights-of-women-to-inheritance-in-nigeria,https://chamanlawfirm.com/resources/blog/what-are-rights-of-women-to-inheritance-in-nigeria,approved public,2,image and alt present in Sanity,high - lawyer review required before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
92,https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce,family-law,Tthe Legal Rights Of A Wife After Divorce,service,138,7285,843,https://chamanlawfirm.com/practice-areas/family-law,https://chamanlawfirm.com/practice-areas/family-law,not public,0,image recovery needed,high - lawyer review required before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
93,https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm,how-to-calculate-stamp-duty-chaman-law-firm,How To Calculate Stamp Duty Chaman Law Firm,blog,138,5274,833,https://chamanlawfirm.com/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,https://chamanlawfirm.com/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,approved public,3,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
94,https://chamanlawfirm.com/legal-implications-of-joint-property,legal-implications-of-joint-property,Legal Implications Of Joint Property,blog,112,5574,826,,https://chamanlawfirm.com/resources/blog/legal-implications-of-joint-property,not public,2,image and alt present in hidden Sanity draft,medium - verify current law and facts before publication,medium - compare hidden draft against public practice/page before approval,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
95,https://chamanlawfirm.com/how-to-get-international-passport-in-nigeria,how-to-get-international-passport-in-nigeria,How To Get International Passport In Nigeria,blog,55,51890,824,,https://chamanlawfirm.com/resources/blog/how-to-get-international-passport-in-nigeria,approved public,2,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
96,https://chamanlawfirm.com/what-governs-contract-in-nigeria,what-governs-contract-in-nigeria,What Governs Contract In Nigeria,blog,119,13789,823,https://chamanlawfirm.com/resources/blog/what-governs-contract-in-nigeria,https://chamanlawfirm.com/resources/blog/what-governs-contract-in-nigeria,approved public,1,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
97,https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord,deal-with-and-bad-tenant-as-a-landlord,Deal With And Bad Tenant As A Landlord,blog,130,7642,816,https://chamanlawfirm.com/practice-areas/property-real-estate-law,https://chamanlawfirm.com/resources/blog/deal-with-and-bad-tenant-as-a-landlord,approved public,3,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,image recovery/fallback required
98,https://chamanlawfirm.com/letter-of-administration-in-ogun-state,probate-estate-administration,Letter Of Administration In Ogun State,service,87,2544,810,https://chamanlawfirm.com/practice-areas/probate-estate-administration,https://chamanlawfirm.com/practice-areas/probate-estate-administration,not public,0,image recovery needed,low/medium - editorial and legal review still required,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,Sprint 11E urgent non-blog rescue candidate; target is existing public service/practice page.
99,https://chamanlawfirm.com/obtaining-governor-consent-for-land-transactions,obtaining-governor-consent-for-land-transactions,Obtaining Governor Consent For Land Transactions,blog,115,14071,806,https://chamanlawfirm.com/resources/blog/obtaining-governor-consent-for-land-transactions,https://chamanlawfirm.com/resources/blog/obtaining-governor-consent-for-land-transactions,approved public,1,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
100,https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,blog,102,14116,801,,https://chamanlawfirm.com/resources/blog/how-to-obtain-tax-clearance-certificate,not public,1,image and alt present in hidden Sanity draft,medium - verify current law and facts before publication,medium - compare hidden draft against public practice/page before approval,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
