priority rank,old URL,old title,old content type,current status,clicks,impressions,average position,backlink/ranking evidence,source body found,source body quality,image found,old media found,current Sanity status,current redirect status,sitemap status,page type,legal risk,current-law risk,duplicate/cannibalization risk,business value,recommended recovery path,proposed final URL,priority score,notes
74,https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/,How Do I Legally Evict A Tenant In Ogun State,property/title,redirect configured to /practice-areas/property-real-estate-law,151,151,,151 clicks; 4331 impressions; avg position 4.79 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/property-real-estate-law,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1512,Attempt recovery before rejection; keep hidden unless all publication gates pass.
75,https://chamanlawfirm.com/types-of-land-registration-in-nigeria/,Types Of Land Registration In Nigeria,property/title,redirect configured to /resources/blog/types-of-land-registration-in-nigeria,150,150,,150 clicks; 9485 impressions; avg position 9.92 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/types-of-land-registration-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/types-of-land-registration-in-nigeria,1502,Attempt recovery before rejection; keep hidden unless all publication gates pass.
76,https://chamanlawfirm.com/overview-of-latches-and-acquiescence/,Overview Of Latches And Acquiescence,general legal education,redirect configured to /practice-areas/litigation-dispute-resolution,149,149,,149 clicks; 9158 impressions; avg position 11.59 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/litigation-dispute-resolution,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,1491,Attempt recovery before rejection; keep hidden unless all publication gates pass.
77,https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/,Land Grabbing The Legal Consequences Of,property/title,redirect configured to /practice-areas/property-real-estate-law,148,148,,148 clicks; 7395 impressions; avg position 9.15 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/property-real-estate-law,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1481,Attempt recovery before rejection; keep hidden unless all publication gates pass.
78,https://chamanlawfirm.com/is-police-bail-free-in-nigeria/,Is Police Bail Free In Nigeria,litigation/ADR,redirect configured to /practice-areas/litigation-dispute-resolution,146,146,,146 clicks; 13323 impressions; avg position 10.55 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/litigation-dispute-resolution,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,1461,Attempt recovery before rejection; keep hidden unless all publication gates pass.
79,https://chamanlawfirm.com/what-to-know-about-company-resolution/,What To Know About Company Resolution,corporate/commercial,redirect configured to /resources/blog/what-to-know-about-company-resolution,146,146,,146 clicks; 12053 impressions; avg position 12.76 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/what-to-know-about-company-resolution,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/what-to-know-about-company-resolution,1461,Attempt recovery before rejection; keep hidden unless all publication gates pass.
80,https://chamanlawfirm.com/powerful-steps-sources-of-tax-law-in-nigeria/,Powerful Steps Sources Of Tax Law In Nigeria,corporate/commercial,redirect configured to /practice-areas/corporate-commercial-law,146,146,,146 clicks; 9857 impressions; avg position 23.32 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/corporate-commercial-law,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,1461,Attempt recovery before rejection; keep hidden unless all publication gates pass.
81,https://chamanlawfirm.com/what-is-the-process-of-land-acquisition/,What Is The Process Of Land Acquisition,property/title,redirect configured to /resources/blog/what-is-the-process-of-land-acquisition,145,145,,145 clicks; 10528 impressions; avg position 11.39 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/what-is-the-process-of-land-acquisition,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/what-is-the-process-of-land-acquisition,1451,Attempt recovery before rejection; keep hidden unless all publication gates pass.
82,https://chamanlawfirm.com/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/,The Role Of Family Court In Relation To Child Protect In Nigeria,litigation/ADR,redirect configured to /resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria,144,144,,144 clicks; 6480 impressions; avg position 9.3 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria,1441,Attempt recovery before rejection; keep hidden unless all publication gates pass.
83,https://chamanlawfirm.com/cost-of-building-approval-chaman-law-firm/,Cost Of Building Approval Chaman Law Firm,general legal education,redirect configured to /practice-areas/property-real-estate-law,142,142,,142 clicks; 5152 impressions; avg position 4.55 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/property-real-estate-law,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1421,Attempt recovery before rejection; keep hidden unless all publication gates pass.
84,https://chamanlawfirm.com/complete-guide-to-probate-registry-in-lagos/,Complete Guide To Probate Registry In Lagos,probate/estate,redirect configured to /resources/blog/complete-guide-to-probate-registry-in-lagos,140,140,,140 clicks; 6097 impressions; avg position 7.52 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/complete-guide-to-probate-registry-in-lagos,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/complete-guide-to-probate-registry-in-lagos,1401,Attempt recovery before rejection; keep hidden unless all publication gates pass.
85,https://chamanlawfirm.com/property-how-to-place-a-caveat/,Property How To Place A Caveat,property/title,redirect configured to /practice-areas/property-real-estate-law,140,140,,140 clicks; 4283 impressions; avg position 9.89 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/property-real-estate-law,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1401,Attempt recovery before rejection; keep hidden unless all publication gates pass.
86,https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce/,Tthe Legal Rights Of A Wife After Divorce,family law,redirect configured to /practice-areas/family-law,138,138,,138 clicks; 7285 impressions; avg position 14.29 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/family-law,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/family-law,1381,Attempt recovery before rejection; keep hidden unless all publication gates pass.
87,https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/,How To Calculate Stamp Duty Chaman Law Firm,general legal education,redirect configured to /resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,138,138,,138 clicks; 5274 impressions; avg position 6.52 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,1381,Attempt recovery before rejection; keep hidden unless all publication gates pass.
88,https://chamanlawfirm.com/nigeria-prohibited-items-list/,Nigeria Prohibited Items List,general legal education,live 404,127,127,,127 clicks; 21883 impressions; avg position 11.78 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/nigeria-prohibited-items-list,1371,Attempt recovery before rejection; keep hidden unless all publication gates pass.
89,https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun/,Can A Landlord Increase Rent Arbitrarily In Ogun,property/title,redirect configured to /practice-areas/property-real-estate-law,136,136,,136 clicks; 4178 impressions; avg position 7.4 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/property-real-estate-law,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1361,Attempt recovery before rejection; keep hidden unless all publication gates pass.
90,https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord/,Deal With And Bad Tenant As A Landlord,property/title,redirect configured to /practice-areas/property-real-estate-law,130,130,,130 clicks; 7642 impressions; avg position 7.8 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /practice-areas/property-real-estate-law,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1301,Attempt recovery before rejection; keep hidden unless all publication gates pass.
91,https://chamanlawfirm.com/types-of-parties-to-a-civil-action/,Types Of Parties To A Civil Action,general legal education,redirect configured to /practice-areas/litigation-dispute-resolution,127,127,,127 clicks; 7219 impressions; avg position 13.35 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/litigation-dispute-resolution,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,1271,Attempt recovery before rejection; keep hidden unless all publication gates pass.
92,https://chamanlawfirm.com/how-to-legally-sublet-a-property-in-nigeria/,How To Legally Sublet A Property In Nigeria,property/title,redirect configured to /resources/blog/how-to-legally-sublet-a-property-in-nigeria,124,124,,124 clicks; 8399 impressions; avg position 5.65 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-legally-sublet-a-property-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-legally-sublet-a-property-in-nigeria,1241,Attempt recovery before rejection; keep hidden unless all publication gates pass.
93,https://chamanlawfirm.com/how-do-i-obtain-a-certificate-of-occupancy/,How Do I Obtain A Certificate Of Occupancy,property/title,redirect configured to /practice-areas/property-real-estate-law,122,122,,122 clicks; 6087 impressions; avg position 6.47 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /practice-areas/property-real-estate-law,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1221,Attempt recovery before rejection; keep hidden unless all publication gates pass.
94,https://chamanlawfirm.com/powerful-steps-valid-survey/,Powerful Steps Valid Survey,property/title,redirect configured to /practice-areas/property-real-estate-law,120,120,,120 clicks; 4234 impressions; avg position 5.87 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/property-real-estate-law,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1201,Attempt recovery before rejection; keep hidden unless all publication gates pass.
95,https://chamanlawfirm.com/enforcing-fundamental-human-right/,Enforcing Fundamental Human Right,general legal education,live 404,110,110,,110 clicks; 5894 impressions; avg position 15.78 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/enforcing-fundamental-human-right,1201,Attempt recovery before rejection; keep hidden unless all publication gates pass.
96,https://chamanlawfirm.com/revocation-of-power-of-attorney/,Revocation Of Power Of Attorney,general legal education,live 404,110,110,,110 clicks; 3208 impressions; avg position 11.71 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/revocation-of-power-of-attorney,1201,Attempt recovery before rejection; keep hidden unless all publication gates pass.
97,https://chamanlawfirm.com/what-governs-contract-in-nigeria/,What Governs Contract In Nigeria,corporate/commercial,redirect configured to /resources/blog/what-governs-contract-in-nigeria,119,119,,119 clicks; 13789 impressions; avg position 8.55 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/what-governs-contract-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/what-governs-contract-in-nigeria,1191,Attempt recovery before rejection; keep hidden unless all publication gates pass.
98,https://chamanlawfirm.com/documents-apostilled-in-nigeria/,Documents Apostilled In Nigeria,notary/documentation,live 404,108,108,,108 clicks; 16563 impressions; avg position 6.04 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/practice-areas/notary-public-services,1181,Attempt recovery before rejection; keep hidden unless all publication gates pass.
99,https://chamanlawfirm.com/understanding-rent-increase-laws-in-lagos/,Understanding Rent Increase Laws In Lagos,property/title,redirect configured to /practice-areas/property-real-estate-law,115,115,,115 clicks; 27541 impressions; avg position 5.93 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/property-real-estate-law,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1151,Attempt recovery before rejection; keep hidden unless all publication gates pass.
100,https://chamanlawfirm.com/obtaining-governor-consent-for-land-transactions/,Obtaining Governor Consent For Land Transactions,property/title,redirect configured to /resources/blog/obtaining-governor-consent-for-land-transactions,115,115,,115 clicks; 14071 impressions; avg position 6.76 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/obtaining-governor-consent-for-land-transactions,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/obtaining-governor-consent-for-land-transactions,1151,Attempt recovery before rejection; keep hidden unless all publication gates pass.
101,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,Rights Of A Property Owner In Nigeria,property/title,live 404,105,105,,105 clicks; 7442 impressions; avg position 12.78 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/rights-of-a-property-owner-in-nigeria,1151,Attempt recovery before rejection; keep hidden unless all publication gates pass.
102,https://chamanlawfirm.com/deed-of-assignment-in-nigeria/,Deed Of Assignment In Nigeria,property/title,redirect configured to /practice-areas/property-real-estate-law,114,114,,114 clicks; 5572 impressions; avg position 9.99 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/property-real-estate-law,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/property-real-estate-law,1141,Attempt recovery before rejection; keep hidden unless all publication gates pass.
103,https://chamanlawfirm.com/the-land-use-and-allocation-committee-luac/,The Land Use And Allocation Committee Luac,property/title,redirect configured to /resources/blog/the-land-use-and-allocation-committee-luac,114,114,,114 clicks; 2298 impressions; avg position 5.65 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/the-land-use-and-allocation-committee-luac,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-land-use-and-allocation-committee-luac,1141,Attempt recovery before rejection; keep hidden unless all publication gates pass.
104,https://chamanlawfirm.com/the-concept-of-restitution-of-conjugal-rights/,The Concept Of Restitution Of Conjugal Rights,general legal education,live 404,103,103,,103 clicks; 12073 impressions; avg position 12.22 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-concept-of-restitution-of-conjugal-rights,1131,Attempt recovery before rejection; keep hidden unless all publication gates pass.
105,https://chamanlawfirm.com/5-lis-pendens-understanding-the-doctrine/,5 Lis Pendens Understanding The Doctrine,general legal education,live 404,103,103,,103 clicks; 5850 impressions; avg position 8.26 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/5-lis-pendens-understanding-the-doctrine,1131,Attempt recovery before rejection; keep hidden unless all publication gates pass.
106,https://chamanlawfirm.com/legal-implications-of-joint-property/,Legal Implications Of Joint Property,property/title,hidden Sanity draft; do not redirect,112,112,,112 clicks; 5574 impressions; avg position 8.86 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/legal-implications-of-joint-property,1121,Attempt recovery before rejection; keep hidden unless all publication gates pass.
107,https://chamanlawfirm.com/property-insurance-in-nigeria/,Property Insurance In Nigeria,property/title,redirect configured to /resources/blog/property-insurance-in-nigeria,109,109,,109 clicks; 12006 impressions; avg position 20.76 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/property-insurance-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/property-insurance-in-nigeria,1091,Attempt recovery before rejection; keep hidden unless all publication gates pass.
108,https://chamanlawfirm.com/insightful-overview-of-family-law-in-nigeria/,Insightful Overview Of Family Law In Nigeria,family law,redirect configured to /resources/blog/insightful-overview-of-family-law-in-nigeria,106,106,,106 clicks; 5702 impressions; avg position 17 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/insightful-overview-of-family-law-in-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/insightful-overview-of-family-law-in-nigeria,1061,Attempt recovery before rejection; keep hidden unless all publication gates pass.
109,https://chamanlawfirm.com/land-use-act-1978/,Land Use Act 1978,property/title,live 404,96,96,,96 clicks; 15652 impressions; avg position 12.76 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/land-use-act-1978,1061,Attempt recovery before rejection; keep hidden unless all publication gates pass.
110,https://chamanlawfirm.com/maxims-of-equity/,Maxims Of Equity,general legal education,live 404,95,95,,95 clicks; 11092 impressions; avg position 17.03 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/maxims-of-equity,1051,Attempt recovery before rejection; keep hidden unless all publication gates pass.
111,https://chamanlawfirm.com/of-the-securities-and-exchange-commission/,Of The Securities And Exchange Commission,general legal education,live 404,95,95,,95 clicks; 6545 impressions; avg position 13.44 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/of-the-securities-and-exchange-commission,1051,Attempt recovery before rejection; keep hidden unless all publication gates pass.
112,https://chamanlawfirm.com/digital-evidence-admissibility-in-nigeria/,Digital Evidence Admissibility In Nigeria,general legal education,live 404,94,94,,94 clicks; 7016 impressions; avg position 11.14 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/digital-evidence-admissibility-in-nigeria,1041,Attempt recovery before rejection; keep hidden unless all publication gates pass.
113,https://chamanlawfirm.com/proven-steps-the-canons-of-interpretation/,Proven Steps The Canons Of Interpretation,general legal education,live 404,93,93,,93 clicks; 7675 impressions; avg position 7.97 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/proven-steps-the-canons-of-interpretation,1031,Attempt recovery before rejection; keep hidden unless all publication gates pass.
114,https://chamanlawfirm.com/how-to-file-a-lawsuit-in-nigeria/,How To File A Lawsuit In Nigeria,general legal education,live 404,93,93,,93 clicks; 7639 impressions; avg position 7.05 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,sitemap after deployment,service,low/medium - editorial and legal review still required,medium,low; service route selected to avoid weak blog duplication,high service/lead value,restore as service page,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution/civil-lawsuit-pre-action-review,1031,Implemented in Sprint 11S as focused static/service authority page.
115,https://chamanlawfirm.com/rights-of-parties-to-a-mortgage/,Rights Of Parties To A Mortgage,general legal education,live 404,93,93,,93 clicks; 2853 impressions; avg position 19.98 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/rights-of-parties-to-a-mortgage,1031,Attempt recovery before rejection; keep hidden unless all publication gates pass.
116,https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate/,How To Obtain Tax Clearance Certificate,corporate/commercial,hidden Sanity draft; do not redirect,102,102,,102 clicks; 14116 impressions; avg position 13.13 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/how-to-obtain-tax-clearance-certificate,1021,Attempt recovery before rejection; keep hidden unless all publication gates pass.
117,https://chamanlawfirm.com/who-holds-authority-over-land-under-the-land/,Who Holds Authority Over Land Under The Land,property/title,redirect configured to /resources/blog/who-holds-authority-over-land-under-the-land,102,102,,102 clicks; 4252 impressions; avg position 8.56 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/who-holds-authority-over-land-under-the-land,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/who-holds-authority-over-land-under-the-land,1021,Attempt recovery before rejection; keep hidden unless all publication gates pass.
118,https://chamanlawfirm.com/developer-fails-to-deliver-property/,Developer Fails To Deliver Property,property/title,redirect configured to /resources/blog/developer-fails-to-deliver-property,102,102,,102 clicks; 3898 impressions; avg position 7.95 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/developer-fails-to-deliver-property,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/developer-fails-to-deliver-property,1021,Attempt recovery before rejection; keep hidden unless all publication gates pass.
119,https://chamanlawfirm.com/pohistory-of-legal-profession-in-nigeria/,Pohistory Of Legal Profession In Nigeria,general legal education,hidden Sanity draft; do not redirect,102,102,,102 clicks; 2525 impressions; avg position 15.24 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/pohistory-of-legal-profession-in-nigeria,1021,Attempt recovery before rejection; keep hidden unless all publication gates pass.
120,https://chamanlawfirm.com/land-registration-system-in-nigeria/,Land Registration System In Nigeria,property/title,hidden Sanity draft; do not redirect,101,101,,101 clicks; 7937 impressions; avg position 7.31 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/land-registration-system-in-nigeria,1011,Attempt recovery before rejection; keep hidden unless all publication gates pass.
121,https://chamanlawfirm.com/board-of-directors-in-nigerian-companies/,Board Of Directors In Nigerian Companies,corporate/commercial,live 404,91,91,,91 clicks; 8410 impressions; avg position 13.69 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/board-of-directors-in-nigerian-companies,1011,Attempt recovery before rejection; keep hidden unless all publication gates pass.
